Delhi,Mumbai,Chennai,Kolkata
74.82,80.42,77.72,77.42
74.65,80.25,77.54,77.26
74.43,80.03,77.31,77.04
74.16,79.76,77.03,76.77
73.86,79.47,76.71,76.48
73.71,79.32,76.56,76.33
73.6,79.21,76.44,76.22
73.6,79.21,76.44,76.22
73.36,78.97,76.19,75.99
73.27,78.88,76.09,75.9
73.19,78.83,76.03,75.85
73.1,78.75,75.95,75.77
73.04,78.69,75.89,75.71
72.98,78.63,75.83,75.65
72.98,78.63,75.83,75.65
72.89,78.55,75.73,75.57
72.68,78.34,75.51,75.36
72.45,78.11,75.27,75.13
72.23,77.89,75.04,74.92
72.1,77.76,74.9,74.74
71.94,77.6,74.73,74.58
71.94,77.6,74.73,74.58
71.94,77.6,74.73,74.58
71.94,77.6,74.73,74.58
71.94,77.6,74.73,74.58
71.94,77.6,74.73,74.58
71.94,77.6,74.73,74.58
71.89,77.56,74.68,74.53
71.89,77.56,74.68,74.53
71.89,77.56,74.68,74.53
71.89,77.56,74.68,74.53
71.94,77.6,74.73,74.58
72.01,77.67,74.81,74.65
72.01,77.67,74.81,74.65
72.01,77.67,74.81,74.65
72.01,77.67,74.81,74.65
71.96,77.62,74.75,74.6
71.96,77.62,74.75,74.6
71.89,77.56,74.68,74.53
71.71,77.4,74.51,74.38
71.49,77.18,74.28,74.16
71.44,77.13,74.23,74.11
71.44,77.13,74.23,74.11
71.29,76.98,74.07,73.96
71.14,76.83,73.91,73.82
71.02,76.71,73.78,73.7
70.83,76.53,73.58,73.51
70.59,76.29,73.33,73.28
70.29,75.99,73.02,72.98
70.29,75.99,73.02,72.98
70.14,75.84,72.86,72.83
70,75.7,72.71,72.7
69.87,75.57,72.57,72.57
69.75,75.46,72.45,72.45
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
69.59,75.3,72.28,72.29
